verbo|traducao|exemplo|nivelj
ankommen|chegar|Wann kommt der Zug an?|A1
antworten|responder|Bitte antworten Sie schnell.|A1
arbeiten|trabalhar|Ich arbeite von Montag bis Freitag.|A1
aufmachen|abrir|Kannst du bitte das Fenster aufmachen?|A1
aufstehen|levantar-se|Ich stehe jeden Morgen um 7 Uhr auf.|A1
ausfüllen|preencher|Bitte füllen Sie das Formular aus.|A1
aussehen|parecer, ter aparência de|Sie sieht müde aus.|A1
aussprechen|pronunciar|Wie spricht man dieses Wort aus?|A1
aussteigen|descer (de um veículo)|Wir müssen hier aussteigen.|A1
bezahlen|pagar|Ich möchte jetzt bezahlen.|A1
brauchen|precisar|Ich brauche Hilfe.|A1
bringen|trazer|Kannst du mir einen Kaffee bringen?|A1
buchstabieren|soletrar|Können Sie das bitte buchstabieren?|A1
duschen|tomar banho (chuveiro)|Ich dusche jeden Morgen.|A1
einkaufen|fazer compras|Ich gehe heute einkaufen.|A1
einladen|convidar|Ich lade dich zum Abendessen ein.|A1
einschlafen|adormecer|Ich bin spät eingeschlafen.|A1
einsteigen|entrar (em um veículo)|Bitte einsteigen!|A1
essen|comer|Was möchten Sie essen?|A1
fahren|dirigir, ir (de veículo)|Ich fahre mit dem Auto zur Arbeit.|A1
fernsehen|assistir TV|Am Abend sehe ich gern fern.|A1
finden|encontrar, achar|Ich finde den Schlüssel nicht.|A1
fliegen|voar, ir de avião|Wir fliegen nach Spanien.|A1
fotografieren|fotografar|Er fotografiert gern Landschaften.|A1
fragen|perguntar|Ich möchte dich etwas fragen.|A1
frühstücken|tomar café da manhã|Ich frühstücke um 8 Uhr.|A1
geben|dar|Kannst du mir bitte das Buch geben?|A1
gehen|ir|Wir gehen ins Kino.|A1
haben|ter|Ich habe ein neues Auto.|A1
halten|segurar, parar, manter|Halten Sie hier bitte an.|A1
heißen|chamar-se|Wie heißen Sie?|A1
heizen|aquecer|Im Winter müssen wir die Wohnung heizen.|A1
holen|buscar, pegar|Ich muss die Kinder aus der Schule holen.|A1
hören|ouvir|Hörst du die Musik?|A1
kaufen|comprar|Was möchtest du kaufen?|A1
kochen|cozinhar|Ich koche heute Abend Suppe.|A1
kommen|vir, chegar|Woher kommen Sie?|A1
können|poder, saber (fazer algo)|Kannst du mir helfen?|A1
kosten|custar|Wie viel kostet das?|A1
krank|doente (usado com sein)|Ich bin krank.|A1
küssen|beijar|Er küsst seine Freundin.|A1
lachen|rir|Sie lachen über den Witz.|A1
laufen|correr, andar|Die Kinder laufen im Garten.|A1
leben|viver|Ich lebe in Deutschland.|A1
legen|colocar (deitado)|Lege das Buch auf den Tisch.|A1
lesen|ler|Ich lese gern Bücher.|A1
lieben|amar|Ich liebe dich.|A1
liegen|estar (deitado)|Das Buch liegt auf dem Tisch.|A1
lösen|resolver|Kannst du die Aufgabe lösen?|A1
machen|fazer|Was machst du heute Abend?|A1
markieren|marcar|Bitte markieren Sie die richtige Antwort.|A1
müssen|ter que, dever|Ich muss jetzt gehen.|A1
nehmen|pegar, tomar|Nehmen Sie Platz.|A1
notieren|anotar|Bitte notieren Sie die Adresse.|A1
organisieren|organizar|Wir müssen eine Party organisieren.|A1
packen|arrumar as malas, empacotar|Ich muss meine Koffer packen.|A1
parken|estacionar|Hier dürfen Sie nicht parken.|A1
passen|servir, caber|Die Hose passt mir nicht mehr.|A1
planen|planejar|Wir planen unseren Urlaub.|A1
probieren|experimentar, provar|Möchtest du den Kuchen probieren?|A1
putzen|limpar, escovar|Ich putze meine Zähne jeden Morgen.|A1
radieren|apagar (com borracha)|Ich habe einen Fehler gemacht und muss radieren.|A1
rauchen|fumar|Rauchen ist hier verboten.|A1
rasieren|barbear|Er rasiert sich jeden Morgen.|A1
regnen|chover|Es regnet heute den ganzen Tag.|A1
reparieren|reparar, consertar|Kannst du mein Fahrrad reparieren?|A1
reservieren|reservar|Ich möchte einen Tisch reservieren.|A1
rühren|mexer, agitar|Bitte rühren Sie den Zucker in den Kaffee.|A1
rufen|chamar, gritar|Ich rufe dich später an.|A1
sagen|dizer|Was hast du gesagt?|A1
sammeln|colecionar, recolher|Ich sammle Briefmarken.|A1
schauen|olhar|Schau mal! Ein Vogel!|A1
schenken|presentear, dar de presente|Ich schenke dir ein Buch.|A1
schießen|atirar|Er schießt auf das Tor.|A1
schlafen|dormir|Ich schlafe sieben Stunden pro Nacht.|A1
schließen|fechar|Bitte schließen Sie die Tür.|A1
schmecken|ter gosto, provar (sabor)|Der Kuchen schmeckt gut.|A1
schneiden|cortar|Kannst du das Brot schneiden?|A1
schneien|nevar|Es schneit im Winter oft.|A1
schreiben|escrever|Ich schreibe einen Brief.|A1
schwimmen|nadar|Ich schwimme gern im See.|A1
sehen|ver|Ich sehe dich.|A1
sein|ser, estar|Ich bin müde.|A1
senden|enviar, transmitir|Wir senden Ihnen eine E-Mail.|A1
sitzen|sentar, estar sentado|Er sitzt auf dem Stuhl.|A1
singen|cantar|Sie singt sehr schön.|A1
spazieren|passear|Wir gehen gern spazieren.|A1
spielen|brincar, jogar, tocar|Die Kinder spielen im Garten.|A1
spülen|lavar (louça)|Ich muss noch das Geschirr spülen.|A1
starten|começar, iniciar|Der Flug startet um 10 Uhr.|A1
stehen|estar (em pé), ficar|Die Tasse steht auf dem Tisch.|A1
stoppen|parar|Bitte stoppen Sie das Auto hier.|A1
studieren|estudar (nível superior)|Sie studiert Medizin an der Universität.|A1
tanzen|dançar|Möchtest du tanzen gehen?|A1
telefonieren|telefonar|Ich muss telefonieren.|A1
tragen|carregar, usar (roupa)|Sie trägt einen roten Pullover.|A1
treiben|praticar (esporte)|Er treibt viel Sport.|A1
trinken|beber|Was möchten Sie trinken?|A1
verstehen|entender|Ich verstehe das nicht.|A1
vorstellen|apresentar (se), imaginar|Darf ich mich vorstellen?|A1
abfliegen|decolar, partir (avião)|Das Flugzeug ist pünktlich abgeflogen.|A2
abmelden|desinscrever-se, cancelar (registro)|Ich muss mich vom Kurs abmelden.|A2
abtrocknen|secar (com toalha)|Bitte trockne das Geschirr ab.|A2
anziehen|vestir|Zieh dir eine Jacke an, es ist kalt.|A2
anzünden|acender|Kannst du bitte die Kerze anzünden?|A2
aufwachen|acordar|Ich bin um 6 Uhr aufgewacht.|A2
baden|tomar banho (banheira), banhar-se|Ich bade gerne im Meer.|A2
backen|assar|Sie backt einen Kuchen für die Party.|A2
basteln|fazer trabalhos manuais, artesanato|Die Kinder basteln ein Geschenk.|A2
beantworten|responder|Bitte beantworten Sie die Frage.|A2
beeilen (sich)|apressar-se|Wir müssen uns beeilen!|A2
bekommen|receber, obter|Ich habe einen Brief bekommen.|A2
benutzen|usar, utilizar|Darf ich dein Handy benutzen?|A2
berichten|relatar|Er berichtet über die Neuigkeiten.|A2
bitten|pedir, solicitar|Ich bitte dich um Hilfe.|A2
bleiben|ficar, permanecer|Bleibst du heute zu Hause?|A2
braten|fritar, assar (carne)|Ich brate Hähnchen in der Pfanne.|A2
bügeln|passar (roupa)|Ich muss noch meine Hemden bügeln.|A2
danken|agradecer|Ich danke dir für deine Hilfe.|A2
einfügen|inserir, encaixar|Fügen Sie den Text hier ein.|A2
einzahlen|depositar (dinheiro)|Ich möchte Geld auf mein Konto einzahlen.|A2
erinnern (sich)|lembrar-se de|Ich kann mich nicht daran erinnern.|A2
erholen (sich)|descansar, recuperar-se|Ich muss mich von der Arbeit erholen.|A2
erklären|explicar|Können Sie das bitte erklären?|A2
erwarten|esperar (por algo/alguém)|Ich erwarte einen Anruf.|A2
falsch|errado (usado com sein)|Das ist falsch.|A2
faxen|enviar por fax|Ich muss das Dokument faxen.|A2
feiern|celebrar, festejar|Wir feiern heute meinen Geburtstag.|A2
fühlen (sich)|sentir-se|Wie fühlen Sie sich heute?|A2
gefallen|agradar, gostar de|Die neue Wohnung gefällt mir sehr gut.|A2
gehören|pertencer|Wem gehört dieses Buch?|A2
grillen|grelhar|Wir grillen heute Abend im Garten.|A2
hängen|pendurar, estar pendurado|Das Bild hängt an der Wand.|A2
heiraten|casar-se|Sie heiraten nächsten Sommer.|A2
helfen|ajudar|Kann ich Ihnen helfen?|A2
husten|tossir|Er hustet die ganze Nacht.|A2
interessieren (sich)|interessar-se por|Ich interessiere mich für Sprachen.|A2
joggen|correr (fazer jogging)|Ich jogge jeden Morgen im Park.|A2
kämmen|pentear|Sie kämmt sich die Haare.|A2
kennen|conhecer|Ich kenne diesen Mann nicht.|A2
kennenlernen|conhecer (alguém pela primeira vez)|Ich möchte neue Leute kennenlernen.|A2
klicken|clicar|Klicken Sie hier, um das Dokument zu öffnen.|A2
klingeln|tocar (campainha, telefone)|Es klingelt an der Tür.|A2
klopfen|bater (na porta)|Jemand klopft an die Tür.|A2
kopieren|copiar|Kannst du dieses Dokument kopieren?|A2
korrigieren|corrigir|Der Lehrer korrigiert die Fehler.|A2
kostenlos|de graça, gratuito (usado como adjetivo, mas pode implicar ação)|Das Parken ist kostenlos.|A2
kriegen|conseguir, pegar (coloquial)|Wo kriege ich Fahrkarten?|A2
kühl|fresco, frio (usado com sein para estado)|Es ist heute kühl.|A2
lassen|deixar, permitir|Lass mich in Ruhe!|A2
leihen|emprestar|Kannst du mir dein Buch leihen?|A2
löschen|apagar, deletar, extinguir|Löschen Sie die Datei.|A2
markieren|marcar|Bitte markieren Sie die richtige Antwort.|A2
mailen (e-mailen)|enviar por e-mail|Ich maile dir die Informationen.|A2
meinen|achar, querer dizer|Was meinst du dazu?|A2
merken|notar, perceber, gravar|Merk dir das Datum.|A2
mieten|alugar|Wir wollen eine Wohnung mieten.|A2
mischen|misturar|Mischen Sie die Zutaten gut.|A2
mitbringen|trazer (consigo)|Bringst du etwas zu essen mit?|A2
mögen|gostar (de pessoas/coisas)|Ich mag Schokolade.|A2
operieren|operar|Der Arzt muss ihn operieren.|A2
ordnen|ordenar, arrumar|Bitte ordne die Bücher im Regal.|A2
packen|empacotar, pegar (algo)|Ich muss meine Tasche packen.|A2
passieren|acontecer|Was ist passiert?|A2
