verbo|traducao|exemplo|nivel
der Abend, -e|a noite|Am Abend lese ich ein Buch.|A1
das Alphabet, -e|o alfabeto|Das deutsche Alphabet hat 26 Buchstaben.|A1
die Ampel, -n|o semáforo|Die Ampel ist rot.|A1
die Antwort, -en|a resposta|Ich warte auf deine Antwort.|A1
die Apotheke, -n|a farmácia|Ich muss zur Apotheke gehen.|A1
der Apfel, -|a maçã|Ich esse gern einen Apfel.|A1
der April|abril|Im April regnet es oft.|A1
der Appetit|o apetite|Guten Appetit!|A1
der Arzt, -e / die Ärztin, -nen|o médico / a médica|Ich gehe zum Arzt.|A1
das Audio, -s|o áudio|Hören Sie das Audio noch einmal.|A1
die Aufgabe, -n|a tarefa, o exercício|Die Aufgabe ist schwer.|A1
das Auto, -s|o carro|Ich fahre mit dem Auto zur Arbeit.|A1
der Ausflug, -e|a excursão, o passeio|Wir machen einen Ausflug am Wochenende.|A1
der Ausweis, -e|o documento de identidade|Haben Sie Ihren Ausweis dabei?|A1
das Baby, -s|o bebê|Das Baby schläft.|A1
die Banane, -n|a banana|Ich esse eine Banane zum Frühstück.|A1
die Bank, -en|o banco|Ich muss zur Bank gehen.|A1
der Bahnhof, -e|a estação de trem|Der Bahnhof ist groß.|A1
das Ballett, -e|o balé|Ich gehe ins Ballett.|A1
der Baum, -e|a árvore|Der Baum ist sehr alt.|A1
der Berg, -e|a montanha|Die Alpen sind hohe Berge.|A1
der Beruf, -e|a profissão|Was ist Ihr Beruf?|A1
der Besuch, -e|a visita|Wir bekommen Besuch am Wochenende.|A2
das Bett, -en|a cama|Ich gehe ins Bett.|A1
das Bier, -e|a cerveja|Ich trinke gern ein Glas Bier.|A1
das Bild, -er|a imagem, o quadro|Das Bild hängt an der Wand.|A2
der Bleistift, -e|o lápis|Ich brauche einen Bleistift.|A1
die Blume, -n|a flor|Die Blumen sind schön.|A2
das Brot, -e|o pão|Ich esse Brot zum Frühstück.|A1
das Brötchen, -|o pãozinho|Möchtest du ein Brötchen?|A1
der Bruder, -|o irmão|Mein Bruder ist älter als ich.|A1
das Buch, -er|o livro|Ich lese gern Bücher.|A1
das Büro, -s|o escritório|Mein Büro ist im Zentrum.|A1
der Bus, -se|o ônibus|Ich fahre mit dem Bus zur Arbeit.|A1
die Butter (kein Pl.)|a manteiga|Ich esse Brot mit Butter.|A1
der Chef, -s / die Chefin, -nen|o chefe / a chefe|Mein Chef ist sehr nett.|A2
der Computer, -|o computador|Ich arbeite am Computer.|A1
