traducao|verbo|exemplo|nivel
a noite|der Abend, -e|Am Abend lese ich ein Buch.|A1
o alfabeto|das Alphabet, -e|Das deutsche Alphabet hat 26 Buchstaben.|A1
o semáforo|die Ampel, -n|Die Ampel ist rot.|A1
a resposta|die Antwort, -en|Ich warte auf deine Antwort.|A1
a farmácia|die Apotheke, -n|Ich muss zur Apotheke gehen.|A1
a maçã|der Apfel, -|Ich esse gern einen Apfel.|A1
abril|der April|Im April regnet es oft.|A1
o apetite|der Appetit|Guten Appetit!|A1
o médico / a médica|der Arzt, -e / die Ärztin, -nen|Ich gehe zum Arzt.|A1
o áudio|das Audio, -s|Hören Sie das Audio noch einmal.|A1
a tarefa, o exercício|die Aufgabe, -n|Die Aufgabe ist schwer.|A1
o carro|das Auto, -s|Ich fahre mit dem Auto zur Arbeit.|A1
a excursão, o passeio|der Ausflug, -e|Wir machen einen Ausflug am Wochenende.|A1
o documento de identidade|der Ausweis, -e|Haben Sie Ihren Ausweis dabei?|A1
o bebê|das Baby, -s|Das Baby schläft.|A1
a banana|die Banane, -n|Ich esse eine Banane zum Frühstück.|A1
o banco|die Bank, -en|Ich muss zur Bank gehen.|A1
a estação de trem|der Bahnhof, -e|Der Bahnhof ist groß.|A1
o balé|das Ballett, -e|Ich gehe ins Ballett.|A1
a árvore|der Baum, -e|Der Baum ist sehr alt.|A1
a montanha|der Berg, -e|Die Alpen sind hohe Berge.|A1
a profissão|der Beruf, -e|Was ist Ihr Beruf?|A1
a visita|der Besuch, -e|Wir bekommen Besuch am Wochenende.|A2
a cama|das Bett, -en|Ich gehe ins Bett.|A1
a cerveja|das Bier, -e|Ich trinke gern ein Glas Bier.|A1
a imagem, o quadro|das Bild, -er|Das Bild hängt an der Wand.|A2
o lápis|der Bleistift, -e|Ich brauche einen Bleistift.|A1
a flor|die Blume, -n|Die Blumen sind schön.|A2
o pão|das Brot, -e|Ich esse Brot zum Frühstück.|A1
o pãozinho|das Brötchen, -|Möchtest du ein Brötchen?|A1
o irmão|der Bruder, -|Mein Bruder ist älter als ich.|A1
o livro|das Buch, -er|Ich lese gern Bücher.|A1
o escritório|das Büro, -s|Mein Büro ist im Zentrum.|A1
o ônibus|der Bus, -se|Ich fahre mit dem Bus zur Arbeit.|A1
a manteiga|die Butter (kein Pl.)|Ich esse Brot mit Butter.|A1
o chefe / a chefe|der Chef, -s / die Chefin, -nen|Mein Chef ist sehr nett.|A2
o computador|der Computer, -|Ich arbeite am Computer.|A1
o primo / a prima|der Cousin, -s / die Cousine, -n|Meine Cousine wohnt in Köln.|A1
o telhado|das Dach, -er|Das Haus hat ein rotes Dach.|A2
a data|das Datum, die Daten|Welches Datum haben wir heute?|A2
a discoteca|die Disco, -s (die Discothek, -en)|Wir gehen am Samstag in die Disco.|A1
a discussão|die Diskussion, -en|Die Diskussion war sehr interessant.|A1
o doutor|der Doktor, -en|Der Doktor kommt gleich.|A2
o documento|das Dokument, -e|Bitte senden Sie mir das Dokument.|A2
a lata|die Dose, -n|Ich kaufe eine Dose Cola.|A2
a impressora|der Drucker, -|Der Drucker ist kaputt.|A2
o chuveiro|die Dusche, -n|Ich nehme eine Dusche.|A1
o e-mail|die E-Mail, -s|Ich schreibe eine E-Mail.|A1
o gelo, o sorvete|das Eis (kein Plural)|Ich esse gern Eis.|A2
o eletricista / a eletricista|der Elektriker, - / die Elektrikerin, -nen|Der Elektriker repariert die Lampe.|A1
os pais|die Eltern (nur Plural)|Meine Eltern leben in Deutschland.|A1
o convite|die Einladung, -en|Danke für die Einladung!|A1
a compra|der Einkauf, -e|Ich gehe einkaufen.|A2
a entrada|der Eingang, -e|Der Eingang ist links.|A2
o depósito|die Einzahlung, -en|Ich mache eine Einzahlung auf mein Konto.|A2
o quarto individual|das Einzelzimmer, -|Ich brauche ein Einzelzimmer.|A2
o neto|der Enkel, -|Mein Enkel ist süß.|A1
a energia|die Energie, -n|Wir brauchen mehr Energie.|A2
o térreo|das Erdgeschoss, -e|Meine Wohnung ist im Erdgeschoss.|A2
o resfriado|die Erkältung, -en|Ich habe eine Erkältung.|A2
o sucesso|der Erfolg, -e|Ich wünsche dir viel Erfolg!|A2
a fábrica|die Fabrik, -en|Die Fabrik produziert Autos.|A2
a disciplina, a área|das Fach, -er|Welches Fach studierst du?|A2
o motorista / a motorista|der Fahrer, - / die Fahrerin, -nen|Der Fahrer ist sehr freundlich.|A1
a bicicleta|das Fahrrad, -er|Ich fahre gern Fahrrad.|A1
a passagem, a passagem de trem|die Fahrkarte, -n|Ich kaufe eine Fahrkarte nach Berlin.|A2
o horário (de transporte)|der Fahrplan, -e|Schau mal im Fahrplan nach!|A2
a família|die Familie, -n|Meine Familie ist klein.|A1
a cor|die Farbe, -n|Welche Farbe magst du?|A2
o fax|das Fax, -e|Ich habe ein Fax bekommen.|A2
o aparelho de fax|das Faxgerät, -e|Das Faxgerät ist kaputt.|A2
a festa, a celebração|die Feier, -n|Die Feier war sehr schön.|A2
o feriado|der Feiertag, -e|Morgen ist ein Feiertag.|A2
a janela|das Fenster, -|Bitte schließ das Fenster.|A1
as férias|die Ferien (Pl.)|Ich fahre in den Ferien weg.|A2
a televisão|der Fernseher, -|Der Fernseher ist neu.|A1
a televisão (programa, meio de comunicação)|das Fernsehen (kein Plural)|Ich schaue gern Fernsehen.|A1
o festival|das Festival, -s|Das Festival findet im Sommer statt.|A2
a febre|das Fieber (kein Pl.)|Ich habe Fieber.|A2
o filme|der Film, -e|Ich möchte einen Film sehen.|A1
o dedo|der Finger, -|Ich habe mir den Finger verletzt.|A2
a empresa|die Firma, die Firmen|Ich arbeite für eine große Firma.|A2
a forma física|die Fitness (kein Pl.)|Sport ist gut für die Fitness.|A2
a garrafa|die Flasche, -n|Bitte gib mir die Flasche Wasser.|A1
a carne|das Fleisch (kein Pl.)|Ich esse gern Fleisch.|A1
o avião (coloquial)|der Flieger, -|Der Flieger landet gleich.|A2
o voo|der Flug, -e|Mein Flug geht nach Berlin.|A1
o aeroporto|der Flughafen, -|Wir fahren zum Flughafen.|A1
o avião|das Flugzeug, -e|Das Flugzeug fliegt hoch.|A1
o formulário|das Formular, -e|Bitte füllen Sie das Formular aus.|A1
a foto|das Foto, -s|Ich zeige dir meine Fotos.|A1
o fotógrafo|der Fotograf, -en|Der Fotograf macht schöne Bilder.|A1
a mulher, a senhora|die Frau, -en|Die Frau ist sehr nett.|A1
o tempo livre|die Freizeit, -en|In meiner Freizeit lese ich gern.|A2
a sexta-feira|der Freitag, -e|Am Freitag gehen wir ins Kino.|A1
o amigo / a amiga, o namorado / a namorada|der Freund, -e / die Freundin, -nen|Das ist mein Freund Peter.|A1
o cabeleireiro / a cabeleireira|der Friseur, -e / die Friseuse, -n|Ich gehe zum Friseur.|A1
a primavera|der Frühling, -e|Im Frühling blühen die Blumen.|A2
o café da manhã|das Frühstück, -e|Ich esse mein Frühstück um 7 Uhr.|A1
o pé|der Fuß, -e|Mir tut der Fuß weh.|A2
o futebol|der Fußball, -e|Ich spiele gern Fußball.|A1
o garfo|die Gabel, -n|Wo ist meine Gabel?|A2
a garagem|die Garage, -n|Mein Auto steht in der Garage.|A2
o convidado|der Gast, -e|Wir haben Gäste heute Abend.|A2
a cadeia de montanhas|das Gebirge, -|Das Gebirge ist sehr schön.|A2
o sentimento|das Gefühl, -e|Ich habe ein gutes Gefühl.|A2
o salário|das Gehalt, -er|Mein Gehalt ist gut.|A2
o dinheiro|das Geld, -er|Ich brauche Geld.|A1
o legume, a verdura|das Gemüse (kein Pl.)|Ich esse gern Gemüse.|A1
a escola abrangente|die Gesamtschule, -n|Meine Kinder gehen auf eine Gesamtschule.|A2
o presente|das Geschenk, -e|Danke für das Geschenk!|A2
a loja, o negócio|das Geschäft, -e|Das Geschäft ist geschlossen.|A2
a saúde|die Gesundheit (kein Pl.)|Ich wünsche dir gute Gesundheit.|A2
a bebida|das Getränk, -e|Was möchten Sie trinken?|A1
o copo, o vidro|das Glas, -er|Bitte gib mir ein Glas Wasser.|A1
a sorte, a felicidade|das Glück (fast nie Plural)|Ich wünsche dir viel Glück!|A2
o deus|der Gott, -er|Er glaubt an Gott.|A2
a gramática|die Grammatik, -en (Plural nur, wenn ein Buch gemeint ist)|Die deutsche Grammatik ist schwer.|A1
a gripe|die Grippe, -n|Ich habe Grippe.|A2
os avós|die Großeltern (nur Plural)|Meine Großeltern wohnen weit weg.|A1
a avó|die Großmutter, -er|Meine Großmutter ist sehr lieb.|A1
o avô|der Großvater, -er|Der Großvater erzählt Geschichten.|A1
o grupo|die Gruppe, -n|Wir arbeiten in einer Gruppe.|A1
a escola primária|die Grundschule, -n|Meine Nichte geht in die Grundschule.|A2
o ginásio (escola secundária)|das Gymnasium, die Gymnasien|Er besucht ein Gymnasium.|A2
a ginástica|die Gymnastik, -en|Ich mache gern Gymnastik.|A1
o cabelo|das Haar, -e|Sie hat lange blonde Haare.|A1
a parada (de ônibus, bonde);|die Haltestelle, -n|Die Haltestelle ist gleich um die Ecke.|A2
a mão|die Hand, -e|Gib mir deine Hand.|A1
a toalha de mão|das Handtuch, -er|Ich brauche ein Handtuch.|A2
a casa|das Haus, -er|Ich wohne in einem Haus.|A1
o dever de casa|die Hausaufgabe, -n|Ich muss meine Hausaufgaben machen.|A1
o dono de casa / a dona de casa|der Hausmann, -er / die Hausfrau, -en|Sie ist Hausfrau.|A2
a capital|die Hauptstadt, -e|Berlin ist die Hauptstadt von Deutschland.|A2
a estação central de trem|der Hauptbahnhof, -e|Wir treffen uns am Hauptbahnhof.|A2
a escola secundária (tipo específico na Alemanha)|die Hauptschule, -n|Er geht auf die Hauptschule.|A2
o caderno|das Heft, -e|Ich habe mein Heft vergessen.|A1
o fogão|der Herd, -e|Der Herd ist neu.|A1
o senhor|der Herr, -en|Guten Tag, Herr Meier.|A1
o outono|der Herbst, -e|Im Herbst fallen die Blätter.|A1
o sucesso (música, filme)|der Hit, -s|Das Lied ist ein großer Hit.|A1
o hobby|das Hobby, -s|Mein Hobby ist Lesen.|A1
o casamento|die Hochzeit, -en|Die Hochzeit war wunderschön.|A2
o hotel|das Hotel, -s|Wir übernachten im Hotel.|A1
o humor|der Humor, -e (kaum Plural)|Er hat einen guten Humor.|A2
o cachorro|der Hund, -e|Ich habe einen Hund.|A2
a fome|der Hunger (kein Pl.)|Ich habe Hunger.|A1
a revista ilustrada|die Illustrierte, -n|Ich lese gern Illustrierte.|A2
o lanche, o quiosque de lanches|der Imbiss, -e|Wir essen einen Imbiss.|A2
a indústria|die Industrie, -n|Die Industrie wächst.|A2
a informação|die Information, -nen|Ich brauche mehr Informationen.|A1
o interesse|das Interesse, -n|Ich habe großes Interesse daran.|A2
a internet|das Internet (kein Plural)|Ich surfe gern im Internet.|A1
o ano|das Jahr, -e|Das Jahr hat 365 Tage.|A1
o século|das Jahrhundert, -e|Wir leben im 21. Jahrhundert.|A2
o trabalho, o emprego|der Job, -s|Ich habe einen neuen Job.|A1
o iogurte|der Joghurt, -s|Ich esse Joghurt zum Frühstück.|A1
o jornalista / a jornalista|der Journalist, -en / die Journalistin, -nen|Der Journalist schreibt einen Artikel.|A1
julho|der Juli|Im Juli fahre ich in den Urlaub.|A1
o menino|der Junge, -n|Der Junge spielt Fußball.|A1
o albergue da juventude|die Jugendherberge, -n|Wir übernachten in einer Jugendherberge.|A2
o café|der Kaffee, -s|Ich trinke gern Kaffee.|A1
o queijo|der Käse, -|Möchtest du Käse zum Frühstück?|A1
a caixa, o caixote|der Kasten, -|Der Kasten ist leer.|A2
a câmera|die Kamera, -s|Ich habe eine neue Kamera.|A1
a luta|der Kampf, -e|Das war ein harter Kampf.|A2
a cantina|die Kantine, -n|Wir essen in der Kantine zu Mittag.|B1
o mapa, o cartão|die Karte, -n|Wo ist die Karte von Berlin?|A2
o caixa|die Kasse, -n|Bitte gehen Sie zur Kasse.|A1
a fita cassete|die Kassette, -n|Ich höre gern alte Kassetten.|A2
o gato|die Katze, -n|Ich habe eine Katze.|A2
a loja de departamentos|das Kaufhaus, -er|Wir gehen ins Kaufhaus.|A2
o garçom / a garçonete|der Kellner, - / die Kellnerin, -nen|Der Kellner bringt uns das Essen.|A1
o porão, a cave|der Keller, -|Der Keller ist dunkel.|A2
o ketchup|der Ketchup, -s|Möchtest du Ketchup zu deinen Pommes?|A2
a creche|die Kinderkrippe, -n|Das Baby geht in die Kinderkrippe.|A2
o jardim de infância|der Kindergarten, -|Meine Tochter geht in den Kindergarten.|A2
o quarto das crianças|das Kinderzimmer, -|Das Kinderzimmer ist groß.|A1
a criança|das Kind, -er|Die Kinder spielen im Garten.|A1
o cinema|das Kino, -s|Gehen wir ins Kino?|A1
o quiosque|der Kiosk, -e|Ich kaufe eine Zeitung am Kiosk.|A2
a igreja|die Kirche, -n|Die Kirche ist sehr alt.|A2
a classe, a turma|die Klasse, -n|Ich bin in der Klasse 8a.|A2
o vestido|das Kleid, -er|Sie trägt ein schönes Kleid.|A2
o troco, moedas|das Kleingeld (kein Pl.)|Haben Sie Kleingeld?|A2
