traducao|verbo|exemplo|nivel
chegar|ankommen|Wann kommt der Zug an?|A1
responder|antworten|Bitte antworten Sie schnell.|A1
trabalhar|arbeiten|Ich arbeite von Montag bis Freitag.|A1
abrir|aufmachen|Kannst du bitte das Fenster aufmachen?|A1
levantar-se|aufstehen|Ich stehe jeden Morgen um 7 Uhr auf.|A1
preencher|ausfüllen|Bitte füllen Sie das Formular aus.|A1
parecer, ter aparência de|aussehen|Sie sieht müde aus.|A1
pronunciar|aussprechen|Wie spricht man dieses Wort aus?|A1
descer (de um veículo)|aussteigen|Wir müssen hier aussteigen.|A1
pagar|bezahlen|Ich möchte jetzt bezahlen.|A1
precisar|brauchen|Ich brauche Hilfe.|A1
trazer|bringen|Kannst du mir einen Kaffee bringen?|A1
soletrar|buchstabieren|Können Sie das bitte buchstabieren?|A1
tomar banho (chuveiro)|duschen|Ich dusche jeden Morgen.|A1
fazer compras|einkaufen|Ich gehe heute einkaufen.|A1
convidar|einladen|Ich lade dich zum Abendessen ein.|A1
adormecer|einschlafen|Ich bin spät eingeschlafen.|A1
entrar (em um veículo)|einsteigen|Bitte einsteigen!|A1
comer|essen|Was möchten Sie essen?|A1
dirigir, ir (de veículo)|fahren|Ich fahre mit dem Auto zur Arbeit.|A1
assistir TV|fernsehen|Am Abend sehe ich gern fern.|A1
encontrar, achar|finden|Ich finde den Schlüssel nicht.|A1
voar, ir de avião|fliegen|Wir fliegen nach Spanien.|A1
fotografar|fotografieren|Er fotografiert gern Landschaften.|A1
perguntar|fragen|Ich möchte dich etwas fragen.|A1
tomar café da manhã|frühstücken|Ich frühstücke um 8 Uhr.|A1
dar|geben|Kannst du mir bitte das Buch geben?|A1
ir|gehen|Wir gehen ins Kino.|A1
ter|haben|Ich habe ein neues Auto.|A1
segurar, parar, manter|halten|Halten Sie hier bitte an.|A1
chamar-se|heißen|Wie heißen Sie?|A1
aquecer|heizen|Im Winter müssen wir die Wohnung heizen.|A1
buscar, pegar|holen|Ich muss die Kinder aus der Schule holen.|A1
ouvir|hören|Hörst du die Musik?|A1
comprar|kaufen|Was möchtest du kaufen?|A1
cozinhar|kochen|Ich koche heute Abend Suppe.|A1
vir, chegar|kommen|Woher kommen Sie?|A1
poder, saber (fazer algo)|können|Kannst du mir helfen?|A1
custar|kosten|Wie viel kostet das?|A1
doente (usado com sein)|krank|Ich bin krank.|A1
beijar|küssen|Er küsst seine Freundin.|A1
rir|lachen|Sie lachen über den Witz.|A1
correr, andar|laufen|Die Kinder laufen im Garten.|A1
viver|leben|Ich lebe in Deutschland.|A1
colocar (deitado)|legen|Lege das Buch auf den Tisch.|A1
ler|lesen|Ich lese gern Bücher.|A1
amar|lieben|Ich liebe dich.|A1
estar (deitado)|liegen|Das Buch liegt auf dem Tisch.|A1
resolver|lösen|Kannst du die Aufgabe lösen?|A1
fazer|machen|Was machst du heute Abend?|A1
marcar|markieren|Bitte markieren Sie die richtige Antwort.|A1
ter que, dever|müssen|Ich muss jetzt gehen.|A1
pegar, tomar|nehmen|Nehmen Sie Platz.|A1
anotar|notieren|Bitte notieren Sie die Adresse.|A1
organizar|organisieren|Wir müssen eine Party organisieren.|A1
arrumar as malas, empacotar|packen|Ich muss meine Koffer packen.|A1
estacionar|parken|Hier dürfen Sie nicht parken.|A1
servir, caber|passen|Die Hose passt mir nicht mehr.|A1
planejar|planen|Wir planen unseren Urlaub.|A1
experimentar, provar|probieren|Möchtest du den Kuchen probieren?|A1
limpar, escovar|putzen|Ich putze meine Zähne jeden Morgen.|A1
apagar (com borracha)|radieren|Ich habe einen Fehler gemacht und muss radieren.|A1
fumar|rauchen|Rauchen ist hier verboten.|A1
barbear|rasieren|Er rasiert sich jeden Morgen.|A1
chover|regnen|Es regnet heute den ganzen Tag.|A1
reparar, consertar|reparieren|Kannst du mein Fahrrad reparieren?|A1
reservar|reservieren|Ich möchte einen Tisch reservieren.|A1
mexer, agitar|rühren|Bitte rühren Sie den Zucker in den Kaffee.|A1
chamar, gritar|rufen|Ich rufe dich später an.|A1
dizer|sagen|Was hast du gesagt?|A1
colecionar, recolher|sammeln|Ich sammle Briefmarken.|A1
olhar|schauen|Schau mal! Ein Vogel!|A1
presentear, dar de presente|schenken|Ich schenke dir ein Buch.|A1
atirar|schießen|Er schießt auf das Tor.|A1
dormir|schlafen|Ich schlafe sieben Stunden pro Nacht.|A1
fechar|schließen|Bitte schließen Sie die Tür.|A1
ter gosto, provar (sabor)|schmecken|Der Kuchen schmeckt gut.|A1
cortar|schneiden|Kannst du das Brot schneiden?|A1
nevar|schneien|Es schneit im Winter oft.|A1
escrever|schreiben|Ich schreibe einen Brief.|A1
nadar|schwimmen|Ich schwimme gern im See.|A1
ver|sehen|Ich sehe dich.|A1
ser, estar|sein|Ich bin müde.|A1
enviar, transmitir|senden|Wir senden Ihnen eine E-Mail.|A1
sentar, estar sentado|sitzen|Er sitzt auf dem Stuhl.|A1
cantar|singen|Sie singt sehr schön.|A1
passear|spazieren|Wir gehen gern spazieren.|A1
brincar, jogar, tocar|spielen|Die Kinder spielen im Garten.|A1
lavar (louça)|spülen|Ich muss noch das Geschirr spülen.|A1
começar, iniciar|starten|Der Flug startet um 10 Uhr.|A1
estar (em pé), ficar|stehen|Die Tasse steht auf dem Tisch.|A1
parar|stoppen|Bitte stoppen Sie das Auto hier.|A1
estudar (nível superior)|studieren|Sie studiert Medizin an der Universität.|A1
dançar|tanzen|Möchtest du tanzen gehen?|A1
telefonar|telefonieren|Ich muss telefonieren.|A1
carregar, usar (roupa)|tragen|Sie trägt einen roten Pullover.|A1
praticar (esporte)|treiben|Er treibt viel Sport.|A1
beber|trinken|Was möchten Sie trinken?|A1
entender|verstehen|Ich verstehe das nicht.|A1
apresentar (se), imaginar|vorstellen|Darf ich mich vorstellen?|A1
decolar, partir (avião)|abfliegen|Das Flugzeug ist pünktlich abgeflogen.|A2
desinscrever-se, cancelar (registro)|abmelden|Ich muss mich vom Kurs abmelden.|A2
secar (com toalha)|abtrocknen|Bitte trockne das Geschirr ab.|A2
vestir|anziehen|Zieh dir eine Jacke an, es ist kalt.|A2
acender|anzünden|Kannst du bitte die Kerze anzünden?|A2
acordar|aufwachen|Ich bin um 6 Uhr aufgewacht.|A2
tomar banho (banheira), banhar-se|baden|Ich bade gerne im Meer.|A2
assar|backen|Sie backt einen Kuchen für die Party.|A2
fazer trabalhos manuais, artesanato|basteln|Die Kinder basteln ein Geschenk.|A2
responder|beantworten|Bitte beantworten Sie die Frage.|A2
apressar-se|beeilen (sich)|Wir müssen uns beeilen!|A2
receber, obter|bekommen|Ich habe einen Brief bekommen.|A2
usar, utilizar|benutzen|Darf ich dein Handy benutzen?|A2
relatar|berichten|Er berichtet über die Neuigkeiten.|A2
pedir, solicitar|bitten|Ich bitte dich um Hilfe.|A2
ficar, permanecer|bleiben|Bleibst du heute zu Hause?|A2
fritar, assar (carne)|braten|Ich brate Hähnchen in der Pfanne.|A2
passar (roupa)|bügeln|Ich muss noch meine Hemden bügeln.|A2
agradecer|danken|Ich danke dir für deine Hilfe.|A2
inserir, encaixar|einfügen|Fügen Sie den Text hier ein.|A2
depositar (dinheiro)|einzahlen|Ich möchte Geld auf mein Konto einzahlen.|A2
lembrar-se de|erinnern (sich)|Ich kann mich nicht daran erinnern.|A2
descansar, recuperar-se|erholen (sich)|Ich muss mich von der Arbeit erholen.|A2
explicar|erklären|Können Sie das bitte erklären?|A2
esperar (por algo/alguém)|erwarten|Ich erwarte einen Anruf.|A2
errado (usado com sein)|falsch|Das ist falsch.|A2
